net,length_um
clknet_leaf_18_clk_i,88.91
_00950_,88.825
_03051_,88.8
_02256_,88.72
_05704_,88.545
clknet_leaf_92_clk_i,88.34
_01853_,88.24
_03087_,88.04
clknet_leaf_154_clk_i,88.04
clknet_leaf_98_clk_i,87.98
_03097_,87.94
_03369_,87.54
clknet_leaf_132_clk_i,87.48
_01064_,87.425
branchgen_i.ID_pc_i\[5\],86.94
clknet_leaf_5_clk_i,86.88
clknet_leaf_152_clk_i,86.785
_03988_,86.76
mem_stage_i.MEM_alu_result_o\[7\],86.6
clknet_leaf_35_clk_i,86.6
net73,86.54
clknet_leaf_88_clk_i,86.47
_03703_,86.2
id_stage_i.rs1_rd_data\[5\],86.19
_01997_,86.16
net168,86.16
_01698_,86.08
_03008_,86.02
_05588_,86
clknet_leaf_145_clk_i,85.96
_01618_,85.86
branchgen_i.ID_imm2_i\[10\],85.8
id_stage_i.rs1_rd_data\[21\],85.6
_01878_,85.425
_05942_,85.39
clknet_leaf_58_clk_i,85.335
_05213_,85.25
clknet_leaf_45_clk_i,85.24
clknet_leaf_46_clk_i,85.24
_02410_,85.23
_01023_,84.895
branchgen_i.ID_imm2_i\[22\],84.74
_03887_,84.66
_05820_,84.57
clknet_leaf_157_clk_i,84.34
_01723_,84.04
id_stage_i.rs1_rd_data\[1\],84
_02932_,83.94
_02276_,83.71
_03399_,83.48
_03096_,83.42
_02161_,83.34
_03308_,83.3
_05135_,83.28
_03261_,83.18
clknet_leaf_144_clk_i,83.04
branchgen_i.ID_imm2_i\[8\],83
branchgen_i.ID_pc_i\[6\],82.98
net72,82.76
clknet_leaf_94_clk_i,82.64
clknet_leaf_150_clk_i,82.62
_05722_,82.58
_03783_,82.54
_03440_,82.46
branchgen_i.ID_imm2_i\[27\],82.37
_04134_,82.36
_06232_,82.34
clknet_leaf_65_clk_i,82.3
branchgen_i.ID_pc_i\[15\],82.26
clknet_leaf_115_clk_i,82.12
clknet_leaf_11_clk_i,82.1
clknet_leaf_55_clk_i,82.1
_01774_,82.04
_03903_,81.86
_03853_,81.74
_03869_,81.74
clknet_leaf_33_clk_i,81.7
_05548_,81.66
_02141_,81.34
_02031_,81.24
_02065_,81.24
_05037_,81.24
_05478_,81.23
_05783_,81.21
_02167_,81.17
_02379_,81.17
_01600_,81.16
ex_stage_i.ID_imm1_i\[11\],81.06
_02144_,81.02
_06415_,81.02
id_stage_i.IF_pc_i\[29\],80.74
_05334_,80.6
clknet_leaf_166_clk_i,80.58
_01512_,80.57
id_stage_i.IF_pc_i\[3\],80.46
clknet_leaf_164_clk_i,80.36
_01599_,80.33
_02996_,80.08
_03167_,80.02
_03076_,80
_02275_,79.98
_05321_,79.98
_06123_,79.9
clknet_leaf_106_clk_i,79.88
clknet_leaf_39_clk_i,79.36
_04181_,79.22
_05583_,79.22
clknet_leaf_101_clk_i,79.16
_03956_,79.14
_05525_,78.87
id_stage_i.regfile_i.regfile_data\[10\]\[17\],78.845
_03413_,78.82
_06167_,78.77
_02142_,78.7
_05897_,78.7
_02274_,78.51
_02381_,78.36
_05716_,78.34
clknet_leaf_163_clk_i,78.1
ex_stage_i.ID_imm1_i\[9\],77.9
_06171_,77.88
_02094_,77.84
net37,77.82
_06231_,77.76
_01950_,77.74
_01751_,77.56
_05680_,77.56
clknet_leaf_114_clk_i,77.54
clknet_leaf_63_clk_i,77.48
_01786_,77.44
clknet_leaf_137_clk_i,77.4
_02130_,77.3
mem_stage_i.MEM_alu_result_o\[16\],77.22
_05786_,77.18
_04777_,76.9
clknet_leaf_91_clk_i,76.86
_05079_,76.8
_02037_,76.78
_05047_,76.66
_05700_,76.62
id_stage_i.IF_pc_i\[24\],76.36
ex_stage_i.ID_imm1_i\[21\],76.32
id_stage_i.regfile_i.regfile_data\[13\]\[8\],76.24
clknet_leaf_153_clk_i,76.24
clknet_leaf_118_clk_i,76.21
_02254_,76.14
_05795_,76.02
_01924_,75.98
_01932_,75.895
_05821_,75.875
branchgen_i.EX_rd_addr_i\[2\],75.85
_01603_,75.84
_01511_,75.72
_05453_,75.675
_01754_,75.26
id_stage_i.regfile_i.regfile_data\[12\]\[8\],75.2
clknet_leaf_51_clk_i,75.19
id_stage_i.rs2_rd_data\[1\],75.1
clknet_leaf_96_clk_i,75.06
_03460_,74.98
_05300_,74.92
_02509_,74.84
clknet_leaf_105_clk_i,74.78
clknet_leaf_14_clk_i,74.6
clknet_leaf_143_clk_i,74.58
_05211_,74.38
clknet_leaf_61_clk_i,74.26
_05291_,73.91
net82,73.8
_06084_,73.73
_03359_,73.7
_04182_,73.7
_05682_,73.68
_05872_,73.6
clknet_leaf_162_clk_i,73.28
_01777_,73.2
_05105_,73.18
ex_stage_i.ID_imm1_i\[26\],73.18
ex_stage_i.ID_imm1_i\[10\],73.12
_05998_,73.1
clknet_leaf_27_clk_i,73.06
_02402_,73.02
_02972_,73.02
_02140_,73
_03879_,72.92
clknet_leaf_66_clk_i,72.88
_02210_,72.86
_01305_,72.815
clknet_leaf_81_clk_i,72.66
_02171_,72.45
clknet_leaf_100_clk_i,72.34
_05593_,72.28
mem_stage_i.mem_op\[1\],72.1
_01881_,72.04
clknet_leaf_128_clk_i,71.84
branchgen_i.ID_imm2_i\[9\],71.695
_01931_,71.62
_01842_,71.54
_02082_,71.5
_05097_,71.5
clknet_leaf_8_clk_i,71.4
_01704_,71.24
clknet_leaf_133_clk_i,71.22
_05262_,71.12
_01933_,71.08
clknet_leaf_160_clk_i,71.02
_03214_,70.94
_02997_,70.82
clknet_leaf_68_clk_i,70.8
_04014_,70.78
clknet_leaf_24_clk_i,70.74
_06028_,70.72
_06302_,70.72
clknet_leaf_32_clk_i,70.64
_02164_,70.62
_05854_,70.62
clknet_leaf_99_clk_i,70.56
_05544_,70.52
_02075_,70.4
_05794_,70.4
_05999_,70.16
_05461_,70.13
